HAUTE-GARONNE;2014; 739047 ; 1477819871 
GERS;2014; 113298 ; 122070485 
GIRONDE;2014; 890191 ; 1541069848 
HERAULT;2014; 655046 ; 968223956 
ILLE-ET-VILAINE;2014; 552424 ; 823963064 
INDRE;2014; 133701 ; 131257180 
INDRE-ET-LOIRE;2014; 338713 ; 502303983 
ISERE;2014; 682630 ; 1162235359 
JURA;2014; 148656 ; 192746896 
LANDES;2014; 238664 ; 284725426 
LOIR-ET-CHER;2014; 189939 ; 241734739 
LOIRE;2014; 419077 ; 507455749 
HAUTE-LOIRE;2014; 130599 ; 122796123 
LOIRE-ATLANTIQUE;2014; 746908 ; 1162745283 
LOIRET;2014; 373179 ; 581356880 
LOT;2014; 104369 ; 113782919 
LOT-ET-GARONNE;2014; 194314 ; 200943035 
LOZERE;2014; 44697 ; 40710971 
MAINE-ET-LOIRE;2014; 428231 ; 489664523 
MANCHE;2014; 283220 ; 305638800 
MARNE;2014; 309750 ; 584016530 
HAUTE-MARNE;2014; 103847 ; 99760122 
MAYENNE;2014; 164956 ; 168441730 
MEURTHE-ET-MOSELLE;2014; 398196 ; 545556603 
MEUSE;2014; 106052 ; 107085335 
MORBIHAN;2014; 427641 ; 539092974 
MOSELLE;2014; 576048 ; 705507482 
NIEVRE;2014; 127229 ; 130540050 
NORD;2014; 1403398 ; 1945210457 
OISE;2014; 448278 ; 739367367 
ORNE;2014; 162543 ; 153093684 
PAS-DE-CALAIS;2014; 803345 ; 838785039 
PUY-DE-DOME;2014; 371947 ; 536388307 
PYRENEES-ATLANTIQUES;2014; 393591 ; 606924148 
HAUTES-PYRENEES;2014; 138521 ; 146363617 
PYRENEES-ORIENTALES;2014; 281877 ; 327406586 
BAS-RHIN;2014; 612340 ; 1112677495 
HAUT-RHIN;2014; 415995 ; 903888387 
RHONE;2014; 994482 ; 2224314727 
HAUTE-SAONE;2014; 134021 ; 133343375 
SAONE-ET-LOIRE;2014; 317497 ; 378198041 
SARTHE;2014; 312071 ; 353404111 
SAVOIE;2014; 248261 ; 419728470 
HAUTE-SAVOIE;2014; 446513 ; 877086992 
PARIS;2014; 1415255 ; 9258947739 
SEINE-MARITIME;2014; 699441 ; 1002358798 
SEINE-ET-MARNE;2014; 747429 ; 1483584315 
YVELINES;2014; 759748 ; 3084169302 
